wds_identifier,wds_rownum
10077-7044DAM,64380.0
10077-7314HJ,64382.0
10077-7314HJ,64382.0
10078-4026TDS,64387.0
10078-4036RST,64388.0
10078-4301TDS,64392.0
10078-4421TDS,64393.0
10079+6650RAO,64394.0
10079-3925TDS,64401.0
10079-5819TDS,64404.0
10080+1201DAM,64408.0
10082+5122TDS,64419.0
10082+2648ES,64420.0
10082-2038LDS,64423.0
10082-5111RST,64426.0
10083+3136KUI,64429.0
10083+3136HJ,64430.0
10083+1131TDS,64431.0
10083+0802A,64432.0
10083+0802A,64432.0
10083-3234TDS,64435.0
10083-4601TDS,64437.0
10083-5749TDS,64439.0
10083-6827TDS,64440.0
10084+1158STF,64444.0
10084+1158HDO,64445.0
10084-3928DAM,64453.0
10084-5313TDS,64455.0
10085+6826BUP,64457.0
10085+6243TDS,64459.0
10085+2419LSC,64461.0
10085+0700TDS,64464.0
10085-2339B,64465.0
10085-5428TDS,64468.0
10085-6011JSP,64470.0
10085-6117FIN,64471.0
10086-3923TDS,64479.0
10086-3934RST,64480.0
10086-3934RST,64480.0
10086-7500SWR,64486.0
10087-2538B,64490.0
10087-6549HJ,64494.0
10087-6904DON,64495.0
10087-6904DON,64495.0
10088-2515DON,64499.0
10088-5405BRT,64502.0
10089+3939SKF,64503.0
10089+0719SKF,64506.0
10089-2945HDS,64508.0
10089-3718RST,64510.0
10089-5149OUD,64514.0
10089-5707TDS,64516.0
10089-6153HDS,64519.0
10090-5209TDS,64525.0
10090-5723TDS,64526.0
10090-6031WFC,64527.0
10091+2531A,64531.0
10091-1530RST,64532.0
10091-2334B,64533.0
10091-5520TDS,64536.0
10091-5622JSP,64537.0
10091-5651TDS,64538.0
10091-5653TDS,64539.0
10092+0610OCC,64551.0
10092-3752TDS,64553.0
10092-4354TDS,64554.0
10092-4743RST,64555.0
10092-5139RST,64556.0
10092-5715TDS,64558.0
10093+2020A,64561.0
10093-1246DAM,64563.0
10093-2051ARA,64565.0
10093-6113JAW,64572.0
10093-6237SKF,64573.0
10093-6237SKF,64573.0
10094+1608SLW,64574.0
10094-4543TDS,64578.0
10095+7405TDS,64581.0
10095+4126A,64582.0
10095+4126A,64582.0
10095+0936OCC,64584.0
10095-3551RST,64585.0
10095-5033TDS,64587.0
10095-5839HJ,64588.0
10095-6841I,64589.0
10095-6841I,64589.0
10095-6841HJ,64590.0
10095-7847RST,64591.0
10095-7847RST,64591.0
10096-6433TDS,64595.0
10097+3145COU,64599.0
10097+0310STF,64600.0
10097-6124TDS,64603.0
10097-7043DAM,64606.0
10098-1257DAM,64611.0
10098-6001TDS,64613.0
10099-5322BRT,64621.0
10099-6013HDS,64622.0
10099-6013HDS,64622.0
10100-4558CPO,64630.0
10100-5702POM,64631.0
10100-5702POM,64631.0
10100-5702POM,64631.0
10101-4742DAM,64640.0
10101-0824CHR,64643.0
10101-1249JNN,64644.0
10101-7026HJ,64646.0
10102+1217HEI,64648.0
10102-1101RST,64649.0
10102-1216DAM,64650.0
10102-1438HJ,64651.0
10102-4004TDS,64652.0
10102-4705B,64654.0
10102-6505BRT,64657.0
10103+4930YR,64660.0
10103-4432DON,64665.0
10103-6923DON,64667.0
10104+5037TDS,64668.0
10104-4737TDS,64671.0
10105-4235B,64675.0
10105-4349TDS,64676.0
10106-1221BU,64680.0
10106-1221BU,64680.0
10107-3236TDS,64688.0
10107-5050TDS,64691.0
10107-5958TDS,64693.0
10109+3628HDS,64701.0
10109+0742A,64702.0
10109-5649TDS,64705.0
10110+6653HJ,64708.0
10110+4040HDS,64709.0
10110+1328AHD,64713.0
10110-4814BRT,64717.0
