wds_identifier,wds_rownum
00000+7530A,0.0
00000+4004ES,1.0
00000+0044SKF,4.0
00000-0530OCC,5.0
00001+7727LOC,6.0
00001+5400ES,7.0
00001+3617GII,8.0
00001+0638SLW,10.0
00001+0022SKF,11.0
00001-0122CLZ,12.0
00002+4119TDS,15.0
00002+4119FYM,16.0
00002+3613TDS,17.0
00002-0309SLN,22.0
00002-3623LDS,24.0
