wds_identifier,wds_rownum
12337+4121BU,77256.0
12337+1026BRT,77258.0
12337-4828TDS,77259.0
12337-6430BRT,77260.0
12338-2331TOK,77261.0
12339+5629LDS,77262.0
12340-5732RST,77278.0
12340-5915RSS,77279.0
12341-5038TDS,77283.0
12341-5346HDS,77284.0
12341-5801TDS,77286.0
12342+0359RAO,77289.0
12342-1812LV,77291.0
12342-2447TDS,77292.0
12342-5251AOT,77295.0
12342-5736TDS,77296.0
12342-5757TDS,77297.0
12342-5757TDS,77297.0
12342-6115TDS,77298.0
12342-6115TDS,77298.0
12344+1517OSO,77303.0
12344-4708RST,77307.0
12345+1206BPM,77309.0
12345-3851TDS,77318.0
12345-5820TOB,77320.0
12346-0750DAM,77325.0
12346-5330AOT,77328.0
12346-6557RST,77330.0
12346-6754DON,77331.0
12347+1420SHN,77335.0
12347+0821SHN,77336.0
12347-4023UC,77338.0
12347-4440B,77339.0
12348-5447TDS,77348.0
12348-6953HDS,77351.0
12349+2727YSC,77355.0
12349+2238WRH,77356.0
12349-0509RST,77358.0
12349-3850RSS,77360.0
12349-5814JSP,77363.0
12349-6024TOB,77364.0
12349-6024TOB,77364.0
12350-2643LSC,77371.0
12350-4717HJ,77373.0
12350-5326AOT,77375.0
12350-6948TDS,77376.0
12350-6948TDS,77376.0
12351+0105CVR,77386.0
12351-5857TOB,77388.0
12351-6150TOB,77389.0
12352-6323TDS,77394.0
12353+1318LAW,77398.0
12354+4707BVD,77400.0
12354-5724TDS,77404.0
12355-4251TDS,77407.0
12355-5651RST,77408.0
12356-3453LDS,77410.0
12357-1650FIN,77426.0
12357-4004SHN,77428.0
12357-5422TDS,77430.0
12357-6016JSP,77431.0
12357-6016JSP,77431.0
12357-6130TOB,77432.0
12357-6721TDS,77433.0
12358+1716CVR,77440.0
12358+1408HEI,77441.0
12358+1408HEI,77441.0
12358+1009HEI,77442.0
12358-5935WFC,77443.0
12358-5935WFC,77443.0
12358-5956TOB,77444.0
12358-6150RST,77445.0
12358-6150RST,77445.0
12359+1631ZIE,77451.0
12359-5322HDS,77458.0
12360+1224SHN,77460.0
12360-4255TDS,77465.0
12360-4619DON,77466.0
12360-4619DON,77466.0
12360-7313HEI,77470.0
12362-4650RST,77477.0
12362-4705TDS,77478.0
12363+4724TDS,77480.0
12363-5915TOB,77486.0
12364-5755TDS,77492.0
12365-5239TDS,77496.0
12366+3001BFR,77499.0
12366-0716RST,77500.0
12366-0716RST,77500.0
12366-6345CVN,77502.0
12368+2014AG,77522.0
12368-5922TOB,77528.0
12368-7302TDS,77529.0
12369-2135DON,77532.0
12369-3211I,77533.0
12369-3211I,77533.0
12369-5629JSP,77535.0
12370-2150B,77540.0
12371+1753LSC,77542.0
12371-5925TOB,77547.0
12371-6241TDS,77548.0
12371-6241TDS,77548.0
12372+2112STF,77551.0
12372-6908RIZ,77553.0
12372-6908DON,77554.0
12372-6908SHT,77555.0
12372-6908SHT,77555.0
12372-6908SHT,77555.0
12372-7039TDS,77558.0
12375+2453CVR,77568.0
12375-0740PRT,77572.0
12375-3034DAW,77574.0
12376+6623MLR,77575.0
12376-5805JSP,77578.0
12377+8338WIS,77579.0
12378+4815TDS,77582.0
12379-6129TDS,77587.0
12380+6804LDS,77589.0
12380-5931TOB,77594.0
12381+2812TDS,77598.0
12381-1940RST,77601.0
12381-5932KRW,77604.0
12382-3920FIN,77609.0
12383+4808TDS,77612.0
12383-5050HDS,77623.0
12383-5852TDS,77626.0
12384+4906TDS,77628.0
12384+1347ABH,77631.0
12385-1742TDS,77638.0
12385-6301TDS,77640.0
12386+2043HDS,77641.0
12386-0041FAR,77643.0
12386-0400SHN,77644.0
12386-2704BWL,77647.0
12388-5113TOK,77661.0
12389+1348HDS,77665.0
12389-6712HJ,77667.0
12390-3200TOI,77672.0
12390-6342TDS,77674.0
12391+4702CFN,77676.0
12391-5816TDS,77681.0
12391-5816TOB,77683.0
12392-0800OCC,77689.0
12392-0800OCC,77694.0
12392-1541UC,77695.0
12392-4022B,77696.0
12392-4022B,77696.0
12394+1918TDS,77706.0
12394-3228TDS,77713.0
12394-5102TDS,77716.0
12395+5516BOY,77718.0
12396-3717DAW,77728.0
12397+5228TDS,77730.0
12397+4737TDS,77731.0
12397+4028LNA,77733.0
12397+4028ES,77734.0
12397-4958TDS,77739.0
12397-6944BRT,77740.0
12397-6944BRT,77740.0
12397-7240TDS,77741.0
12398+3209DEA,77744.0
12398-6804TDS,77746.0
12399+7425HJ,77747.0
12399-3959HUB,77751.0
12399-6631KOU,77753.0
12400+1239HDS,77762.0
12400-5935RSS,77764.0
12400-5935KRW,77765.0
12400-6013HEI,77766.0
12401+2049OSO,77769.0
12401-2544BRT,77771.0
12401-5907TDS,77772.0
12403+3136LDS,77779.0
12403-6944HDS,77783.0
12403-7139B,77785.0
12405-4333TDS,77791.0
12406+1513TDS,77798.0
12406-5004RST,77806.0
12406-5845FIN,77807.0
12406-6011JSP,77808.0
12407+2757LDS,77811.0
12407-3027LDS,77815.0
12407-4803TOK,77817.0
12408-5554TDS,77821.0
12408-5813JSP,77822.0
12408-5856RST,77824.0
12408-5856RST,77824.0
12409+2708COU,77826.0
12409-4707TDS,77832.0
12410-4052RSS,77836.0
12411-0915OCC,77845.0
12412-0127BU,77849.0
12412-5819HDS,77851.0
12413-5239TDS,77862.0
12413-6105TOB,77864.0
12415-4642TDS,77873.0
12415-4858HJ,77874.0
12415-4858HJ,77874.0
12415-4858SEE,77875.0
12415-4858SHY,77876.0
12415-4858SHY,77876.0
12416+1026SHY,77881.0
12417+5543SHY,77886.0
12417-0127STF,77895.0
12417-2708RST,77905.0
12417-6444B,77908.0
12418+5645BWL,77910.0
12418+2542LDS,77915.0
12418-5555HDS,77924.0
12419+1014VIG,77926.0
12419-5909TDS,77929.0
12419-6204POM,77930.0
12419-6204POM,77930.0
12419-6204POM,77930.0
12419-6444HDS,77932.0
12420+5107ES,77934.0
12420-2202DON,77937.0
12421+5415LDS,77942.0
12421-5446FIN,77945.0
12421-5627SIN,77947.0
12421-6924EVS,77949.0
12422+2622A,77950.0
12422+2622A,77950.0
12422+1558LDS,77952.0
12422-1111RST,77955.0
12422-3823TDS,77957.0
12423-0224SLW,77961.0
12423-5157RST,77962.0
12423-6117TDS,77963.0
12423-6300HDS,77964.0
12423-6300HDS,77964.0
12424-6258HJ,77968.0
12424-6258SIN,77969.0
12424-6258TOB,77972.0
12424-6258TOB,77972.0
12425+2849LDS,77974.0
12425-3038WSP,77976.0
12425-6101HDS,77980.0
12427+4733TDS,77991.0
12427+3007LDS,77993.0
12428+4154BWL,77997.0
12428-5557KOU,78002.0
12428-6405TOB,78003.0
12429+0516A,78005.0
12429-0929OCC,78009.0
12429-5049JNN,78013.0
12429-5441TDS,78014.0
12429-6646TDS,78015.0
12430-0403LLO,78019.0
12430-0713BRT,78021.0
12430-5656TDS,78023.0
12431+3049LDS,78026.0
12431+1010CBL,78028.0
12431-6814TDS,78031.0
12431-7458KOH,78033.0
12431-7458BRR,78034.0
12432-3506TDS,78039.0
12433-3341I,78044.0
12433-5432RSS,78045.0
12433-5432RSS,78045.0
12433-6141TDS,78046.0
12433-6141TDS,78046.0
12434-1955UC,78048.0
12434-5058RST,78053.0
12434-5945JSP,78054.0
12435-5620TDS,78061.0
12435-5854ARY,78064.0
12436+6001LAF,78065.0
12436+5852STT,78067.0
12436-4656TDS,78069.0
12436-4825TDS,78070.0
12436-4825TDS,78070.0
12436-6116TOB,78073.0
12436-7332HEI,78074.0
12436-7834BIL,78075.0
12437+8253TDS,78076.0
12437+4942TDS,78078.0
12437-0448HJ,78082.0
12438+0733STF,78084.0
12438-0441UC,78085.0
12438-0946OCC,78086.0
12438-2442TDS,78088.0
12438-5944JSP,78089.0
12438-5944JSP,78089.0
12439+5349ES,78091.0
12439-3946RST,78094.0
12440+0356A,78099.0
12440-2727TDS,78102.0
12441+3546HO,78108.0
12442+5146RDR,78111.0
12442-5234TDS,78113.0
12442-7226TDS,78114.0
12444+2713COU,78121.0
12444+2200HDS,78122.0
12444-5421JNN,78125.0
12444-6414TOB,78127.0
12445+2931LDS,78133.0
12446-2315HDS,78142.0
12446-4848TDS,78143.0
12446-5717FIN,78144.0
12446-5717KOU,78145.0
12446-7430B,78149.0
12447-3808DAW,78155.0
12448-3500TDS,78160.0
12448-4114RST,78161.0
12448-4218TDS,78162.0
12449-6132TDS,78169.0
12450-4656TDS,78175.0
12450-6519HDS,78178.0
12451+6438HDS,78179.0
12451+2724HJ,78180.0
12451-4345DON,78183.0
12452-4656HDS,78189.0
12452-5721SHY,78190.0
12452-5844WFC,78192.0
12452-5908TOB,78193.0
12452-6213COO,78194.0
12452-6213COO,78194.0
12452-6649DON,78195.0
12452-6649DON,78195.0
12453-4720TDS,78200.0
12454+0128HEI,78206.0
12455-3727HDS,78216.0
12455-4552HDS,78219.0
12455-4552DON,78220.0
12455-5352HDS,78221.0
12455-5810TDS,78222.0
12455-5810TDS,78222.0
12456-6211HDS,78226.0
12457-1734FEN,78229.0
12457-4723RSS,78231.0
12458-3032UC,78235.0
12459-4809TDS,78241.0
12459-5059TDS,78242.0
12459-6033JSP,78244.0
12460+2340COU,78251.0
12460-0919OCC,78253.0
12461+6016CVR,78257.0
12461-3146B,78261.0
12462+0228STT,78265.0
12463+5105WIS,78268.0
12463+1252GWP,78272.0
12463+0847BGH,78273.0
12463-6050B,78276.0
12464+0932STT,78281.0
12464-5629SHT,78287.0
12464-5907KRV,78290.0
12464-5907KRV,78290.0
12464-5907KRV,78290.0
12464-7246TDS,78292.0
12465+4054HDS,78293.0
12465-2051RST,78296.0
12465-6025TOB,78298.0
12467-0040OCC,78307.0
12467-1901B,78308.0
12467-1901B,78308.0
12467-5201TDS,78309.0
12467-5201TDS,78309.0
12471+2237SHY,78323.0
12472+1442EGG,78327.0
12472+1157DRS,78329.0
12472-0803SHN,78331.0
12472-4928HDS,78334.0
12472-5210LDS,78335.0
12472-5210LDS,78335.0
12472-5757TDS,78336.0
12472-6040DAM,78337.0
12473+5252HDS,78338.0
12473-5949JSP,78348.0
12473-7323HEI,78349.0
12474-2935DAW,78351.0
12474-3154TDS,78352.0
12474-3154TDS,78352.0
12474-5121TDS,78356.0
12476-6010B,78364.0
12476-6258TDS,78365.0
12476-6258TDS,78365.0
12476-6440TOB,78367.0
12477-5826RST,78372.0
12477-5941I,78373.0
12477-5941DUN,78374.0
12477-5941ANT,78375.0
12477-5941ANT,78375.0
12477-5941ANT,78375.0
12477-7444TDS,78377.0
12478+5522TDS,78378.0
12479-5127TOK,78388.0
12479-5743BRT,78389.0
12479-5743BRT,78389.0
12480-0909OCC,78392.0
12480-5702TDS,78394.0
12480-6442TOB,78396.0
12481-5626JSP,78404.0
12481-6002JSP,78405.0
12481-6002JSP,78405.0
12482+4714LHS,78406.0
12482-5924TDS,78408.0
12483-6848TDS,78419.0
12485-1543WSI,78427.0
12485-1543HDS,78428.0
12485-4952TDS,78431.0
12485-6026TDS,78432.0
12486-1425YSC,78436.0
12487+7209MLR,78437.0
12487+7209MLR,78437.0
12487+6019YSC,78438.0
12487+6019YSC,78438.0
12487+6019MET,78439.0
12487+6019MET,78439.0
12487+6019SHY,78440.0
12487+6019SHY,78440.0
12487+6019SHY,78440.0
12487+5640TDS,78442.0
12487+3437SKF,78443.0
12487+3437SKF,78443.0
12487+0426DAM,78447.0
12487-0216ZHN,78449.0
12487-4405HU,78452.0
12488-4737HTS,78456.0
12488-5247TDS,78468.0
12489+1206ENG,78473.0
12489-2013B,78474.0
12489-7519HDS,78478.0
12490+7207TDS,78479.0
12490+6607DEL,78480.0
12490+6607DEL,78480.0
12490+6125TDS,78481.0
12490+6125TDS,78481.0
12490-1539RST,78486.0
12490-5338TDS,78487.0
12490-5338TDS,78487.0
12490-7518HEI,78490.0
12490-7545TDS,78491.0
12491-4504TDS,78493.0
12492+2147STF,78500.0
12492-0549OCC,78503.0
12492-6040HDS,78507.0
12492-6529HRG,78508.0
12493+2733CHR,78510.0
12494-7226HEI,78522.0
12495-1709RST,78523.0
12495-6109TDS,78526.0
12495-6430TDS,78527.0
12495-6430TDS,78527.0
12496+5151LDS,78529.0
12496+1035BPM,78533.0
12497+0111ENG,78538.0
12498-5812TDS,78544.0
12498-7321DAM,78545.0
12499-1307GWP,78548.0
12499-4952HDS,78550.0
12499-6437HDS,78551.0
12500+4727TDS,78553.0
12500-5848TDS,78557.0
12500-6521HRG,78558.0
12500-6836DON,78559.0
12500-6836DON,78559.0
12501+2408A,78563.0
12501-2940TDS,78565.0
12503-7342TDS,78574.0
12504-2639TDS,78577.0
12505-4154I,78584.0
12505-4938TDS,78585.0
12505-4938TDS,78585.0
12505-6903TDS,78586.0
12506-2330ARA,78593.0
12506-5832TOB,78599.0
12506-5846TDS,78600.0
12506-6805HDS,78603.0
12506-6805JNN,78604.0
12506-6916DON,78607.0
12507+2032HU,78608.0
