wds_identifier,wds_rownum
21473+2524POU,141641.0
21473+2134GRV,141642.0
21473-5011TDS,141645.0
21473-5852HDS,141646.0
21473-8543TDT,141647.0
21474+5508MLR,141649.0
21474+2855AG,141652.0
21474+2505POU,141656.0
21474+2404POU,141657.0
21475+1352BPM,141663.0
21475-7754DAM,141668.0
21475-7839UC,141669.0
21476+4832TDT,141670.0
21476+4832TDT,141670.0
21476+3326TDT,141671.0
21476+1116BPM,141675.0
21476-1355LDS,141678.0
21476-6446TDT,141681.0
21477+5942PET,141682.0
21477+4759COU,141684.0
21477+1432BOY,141688.0
21477-0143BAR,141689.0
21477-1813CHR,141690.0
21477-3054FIN,141692.0
21477-3054HJ,141693.0
21478+6203HU,141696.0
21478+6203HU,141696.0
21478+4212TDT,141699.0
21478+2452POU,141700.0
21478+2452POU,141700.0
21478-7241HEI,141701.0
21478-7241HEI,141701.0
21479-4500I,141711.0
21479-7039TDT,141713.0
21480+3550TDT,141716.0
21480+2819MLB,141717.0
21481+6230ES,141725.0
21481+5156TDT,141727.0
21481+2100HU,141729.0
21481-3839HDS,141732.0
21482+5407LDS,141734.0
21482+2441POU,141735.0
21483+5727TDT,141738.0
21483-1959BHA,141742.0
21484+3806ALI,141748.0
21484+3516TDT,141749.0
21486-6648TDT,141770.0
21487+3251ES,141775.0
21487+3233GRV,141776.0
21487+3233GRV,141776.0
21487-4901TDT,141782.0
21487-5411TDT,141783.0
21487-6530I,141784.0
21488-3929CVN,141790.0
21489+4349TDT,141791.0
21489+4321TDT,141792.0
21489+0309GWP,141794.0
21490+6323MLB,141796.0
21490+4316BRT,141798.0
21490+4254TDT,141799.0
21490+3912TDT,141800.0
21490+3912TDT,141800.0
21490+2456POU,141801.0
21490+2456POU,141801.0
21490+2456POU,141801.0
21491+4852DAM,141807.0
21491+3535TDT,141809.0
21491+3401TDT,141810.0
21491+2432POU,141812.0
21491-6413CVN,141814.0
21491-7206HEI,141815.0
21492+5031CTT,141819.0
21492+4702COU,141821.0
21492+4702COU,141821.0
21492+4326PKO,141823.0
21492+3849TDT,141824.0
21492+2256LDS,141826.0
21492-3538B,141828.0
21493+6401TDT,141832.0
21493+2412POU,141838.0
21493+2404POU,141839.0
21493+2404POU,141839.0
21493-6311KPP,141842.0
21494+4058TDT,141845.0
21494+3048GRV,141846.0
21494+3048GRV,141846.0
21494+2600UC,141848.0
21494+2509POU,141849.0
21495+5736TDT,141852.0
21495+4716HJ,141858.0
21495+2458POU,141859.0
21495+2202COU,141864.0
21496+5350TDT,141873.0
21496+4908DAM,141874.0
21496+3319HDS,141877.0
21496+2431POU,141878.0
21496+2431POU,141878.0
21496-0819HDS,141882.0
21497+4857ES,141885.0
21497+3415KU,141886.0
21497+2039TDT,141888.0
21498+6514MLR,141892.0
21498+3455COU,141894.0
21498+2503POU,141895.0
21499-2509B,141902.0
21500+1246SHN,141908.0
21500-2314ARA,141911.0
21501+3623GRV,141914.0
21501+2242TDT,141922.0
21501+1717COU,141923.0
21501-3837TOK,141925.0
21502+6144TDT,141927.0
21502+5131COU,141928.0
21502+5131COU,141928.0
21502+4356TDS,141929.0
21502+2505POU,141931.0
21502+1545UC,141932.0
21502+0558CBL,141934.0
21503+3504TDT,141939.0
21503+2754MLB,141942.0
21503+2343POU,141943.0
21503-7521FAH,141947.0
21504+3927HO,141948.0
21504+2519POU,141949.0
21504+2303J,141951.0
21504+2303DAM,141952.0
21504+0839HJ,141956.0
21504-5818HDS,141960.0
21505+2756AZC,141966.0
21505-4618TOI,141969.0
21506+6024STI,141970.0
21506+5932LDS,141971.0
21506+4908ES,141972.0
21506+2447POU,141975.0
21506+1559HJ,141979.0
21506-7325TDT,141982.0
21507+7746HDS,141983.0
21507+5947STI,141984.0
21507+2449POU,141986.0
21507+2422POU,141987.0
21507+2356POU,141988.0
21507+2356POU,141988.0
21508+2451POU,141993.0
21508-2032SEE,141995.0
21509+4419HJ,141998.0
21509+3240FYM,142002.0
21509-5939HDS,142011.0
21509-7403TDT,142012.0
21510+5621KR,142015.0
21510+5621KR,142015.0
21510+2911A,142017.0
21510+2420POU,142019.0
21510-7018TDT,142023.0
21511+6650HU,142025.0
21511+5047TDT,142027.0
21511+5040ES,142028.0
21511+5023HU,142029.0
21511+4711A,142030.0
21511+4209COU,142031.0
21511+2512POU,142033.0
21511+1022COU,142034.0
21511+1022COU,142034.0
21511+1022HEI,142035.0
21511+1022HEI,142035.0
21511-2938LDS,142036.0
21511-2938LDS,142036.0
21511-2938LDS,142036.0
21511-6459RST,142040.0
21512+4050GRV,142042.0
21512+3941TDT,142043.0
21512+3741TDT,142044.0
21512+0546HJ,142046.0
21512+0306STF,142048.0
21512-2147TDT,142049.0
21512-4708BRT,142050.0
21513+4428TDT,142054.0
21513+3938TDT,142055.0
21513+3521TDT,142056.0
21513+1220SHN,142058.0
21513+0808YSC,142060.0
21514+4857ES,142068.0
21514+4811TDT,142069.0
21514+2352POU,142071.0
21515+7419UC,142080.0
21515+4910ES,142081.0
21515+4910ES,142081.0
21515+2445POU,142083.0
21515-1139HU,142087.0
21516+5918KPP,142090.0
21516+3030MLB,142091.0
21516+2434POU,142092.0
21517+2852SHN,142101.0
21517+2437POU,142103.0
21518+6129STI,142112.0
21518+6129MRI,142113.0
21518+6129MRI,142113.0
21518+5534HDS,142114.0
21518+1336CRC,142117.0
21519+5911STI,142120.0
21519+4441TDT,142121.0
21519+4221FYM,142125.0
21519+4221JOD,142126.0
21519-0509SCA,142130.0
21519-0509WSI,142131.0
21519-0509WSI,142131.0
21519-4325SKF,142133.0
21520+6723TDT,142134.0
21520+3722CRB,142142.0
21520-3801TDT,142146.0
21521+4313TDT,142149.0
21522+3817TDT,142157.0
21522+3252ES,142158.0
21522+3252ES,142158.0
21522+0538JOD,142159.0
21522+0538JOD,142159.0
21522+0538JOD,142159.0
21522-4151TDT,142161.0
21523+1024TDT,142167.0
21523+0958CHE,142168.0
21523-7033HEI,142170.0
21524+5928TDT,142171.0
21524+5054TDT,142172.0
21524+3504TDT,142173.0
21524+1226UC,142176.0
21524+1226UC,142176.0
21524+0938RED,142178.0
21524-0310SCA,142180.0
21524-2522B,142181.0
21524-2522B,142181.0
21525+3549TDT,142183.0
21526+6535GII,142185.0
21526+6458TDT,142186.0
21526+4513ES,142191.0
21526+0925HJ,142194.0
21526-1548BUP,142196.0
21527+2429POU,142198.0
21527+1650BPM,142199.0
21529+3327J,142209.0
21529+2354POU,142211.0
21529-2001B,142214.0
21530+6536GII,142218.0
21531+4826COU,142232.0
21531+4826GII,142233.0
21531+4339TDT,142234.0
21531+3408TDT,142235.0
21531+1731DAM,142237.0
21532+4619SLN,142243.0
21532+4141DAM,142245.0
21532+3205ES,142246.0
21532+2516POU,142250.0
21533+4144J,142254.0
21533-4650FIN,142258.0
21533-7344TOK,142260.0
21534+4921ES,142262.0
21534+4921ES,142262.0
21534+2447POU,142265.0
21534-1411RST,142268.0
21534-7835I,142269.0
21535+2440POU,142274.0
21535+2347POU,142275.0
21536+6405TDT,142279.0
21536+5724TDT,142280.0
21536+3456TDT,142284.0
21536+1735J,142287.0
21536+0010WIS,142289.0
21536-1019FIN,142290.0
21536-4844WIS,142292.0
21537+7402UC,142295.0
21537-1645OCC,142298.0
21537-5535TDT,142300.0
21538+6241PET,142301.0
21538+6237PET,142302.0
21538+3505TDT,142308.0
21538+2856MLB,142309.0
21538-2000BU,142313.0
21538-2000HU,142315.0
21538-2000HU,142315.0
21539+2821WSI,142321.0
21539+2446POU,142322.0
21539+1102GWP,142323.0
21540+6237PET,142330.0
21540+4125TDT,142331.0
21540+1553HJ,142333.0
21540-0744TDT,142334.0
21541+4307POP,142339.0
21541-0117FAR,142343.0
21541-1108RST,142344.0
21541-1108RST,142344.0
21541-6341TDT,142345.0
21542+5927HJ,142347.0
21542+5220SKF,142348.0
21542+2409POU,142350.0
21543+6134ES,142357.0
21543+4652DAM,142359.0
21543+2425POU,142360.0
21543+2425POU,142360.0
21543+1943COU,142362.0
21544+6330STI,142371.0
21544+1621HEI,142374.0
21544+1427BPM,142375.0
21544-4656TDT,142379.0
21545+4405TDT,142382.0
21545+4403A,142383.0
21545+4403A,142383.0
21545+4052TDT,142384.0
21545+2506POU,142385.0
21545+2411POU,142386.0
21546+7401UC,142390.0
21546+6234PET,142391.0
21546-0300HDS,142393.0
21547+4916ES,142399.0
21547+3814TOK,142401.0
21547+3220LAF,142402.0
21547+2334POU,142411.0
21547-0527J,142414.0
21548+5805TDT,142417.0
21548+4548COU,142418.0
21548+4548STF,142419.0
21548+4310TDT,142421.0
21548+4310TDT,142421.0
21548+2340POU,142422.0
21548-7039TDT,142424.0
21549+6159OSO,142425.0
21549+5046TDT,142429.0
21549+5046TDT,142429.0
21549+2417POU,142431.0
21549+1914AMS,142432.0
21549+1914AMS,142432.0
21549-7720HDS,142437.0
21550+4404BRT,142442.0
21550+3851TDT,142443.0
21550+1926TDT,142445.0
21550-1515HDS,142449.0
21551+2523AG,142451.0
21551+2345POU,142453.0
21551-3148I,142459.0
21552+6217TDT,142460.0
21552+5030BLL,142461.0
