wds_identifier,wds_rownum
00005+5902STI,50.0
00005+5902MRI,51.0
00005+5457STI,55.0
00005+4556TDS,58.0
00005+3114COU,59.0
00005-0916GWP,64.0
00006+5552MRI,66.0
00006-2916TDS,69.0
00007+6103STI,73.0
